"SCHNO","FULLNAME","SCHLEVEL","ADDRESS","mean_dist3_mi","dens_students_mi2","enroll","enroll_SED","enroll_prog","SED_frac","prog_frac","staff_cc_favorability","staff_participation","family_cc_favorability","family_participation","student_cc_favorability","student_participation","growth_mindset_fav","self_efficacy_fav","self_management_fav","social_awareness_fav","Performance_ELA","Performance_Math","Change_ELA","Change_Math","top3_pct_2324","top3_pct_2425","top3_pct_2325","num2022","sep2022","num2023","sep2023","turnover_mean","prog_cap","pct_cap","fci"
405,"Lincoln (Abraham) HS",4,"2162 24th Ave, San Francisco, CA",1.40210849090684,81.08108108,2038,1088,1526,0.533856722276742,0.748773307163886,64,0.593,76,0.062,58,0.283,65,51,71,57,-7.4,-60.8,-2.6,4.5,0.505,0.484,0.495,154,19,125,8,0.0936883116883117,2000,1.019,0.35
697,"Lowell HS",4,"1101 Eucalyptus Dr, San Francisco, CA",1.7576370606381,41.15755627,2546,1090,1232,0.428122545168892,0.483896307934014,86,1,86,0.146,68,0.932,71,50,73,64,122.9,90.5,11.6,15.6,0.45,0.47,0.46,164,7,165,5,0.0364929785661493,2000,1.273,0.24
853,"Marshall (Thurgood) HS",4,"45 Conkling St, San Francisco, CA",1.50647976350848,90.87221095,486,407,480,0.837448559670782,0.987654320987654,73,0.753,98,0.125,61,0.692,67,47,66,54,-183.7,-229.2,15.4,32.8,0.02,0.032,0.026,50,5,54,5,0.0962962962962963,1000,0.486,0.23
725,"Mission HS",4,"3750 18th St, San Francisco, CA",0.984457621190488,34.26573427,1089,677,995,0.621671258034894,0.913682277318641,72,0.993,85,0.413,59,0.773,69,52,70,55,-146.8,-193.3,-11.7,34.6,0.1,0.095,0.097,85,6,84,3,0.0531512605042017,1000,1.089,0.53
651,"O'Connell (John) HS",4,"2355 Folsom St, San Francisco, CA",0.683588500945539,159.6566524,491,357,487,0.727087576374745,0.991853360488798,70,0.468,NA,0.027,60,0.43,58,43,60,54,-66.9,-161.9,-8.3,10.2,0.049,0.055,0.052,49,3,49,3,0.0612244897959184,1000,0.491,0.31
621,"SF International HS",4,"655 De Haro St, San Francisco, CA",0.782130448692561,42.45810056,394,299,393,0.758883248730964,0.99746192893401,81,0.828,97,0.184,70,0.672,74,58,71,55,-179,-209.7,37.8,-22.4,0.011,0.009,0.01,46,3,43,0,0.0326086956521739,1000,0.394,0.46
832,"The Academy - SF @ McAteer HS",4,"555 Portola Dr, San Francisco, CA",1.61362600332018,33.65384615,263,159,209,0.604562737642586,0.79467680608365,81,1,91,0.38,67,0.869,65,49,67,55,-48.8,-158.5,-5.8,-26.3,0.038,0.024,0.031,28,1,27,0,0.0178571428571429,500,0.526,0.17
785,"Wallenberg (Raoul) HS",4,"40 Vega St, San Francisco, CA",1.32582420403453,64.28571429,559,268,439,0.479427549194991,0.785330948121646,86,0.882,93,0.16,62,0.691,70,56,70,59,47.9,-57.8,32,17.9,0.098,0.103,0.1,39,2,40,1,0.0381410256410256,500,1.118,0.22
571,"Washington (George) HS",4,"600 32nd Ave, San Francisco, CA",2.1908592994766,57.46753247,2009,1054,1265,0.52463912394226,0.62966650074664,79,1,84,0.134,58,0.749,66,47,69,61,34,-21.6,12.1,1.7,0.349,0.352,0.351,119,4,119,3,0.0294117647058824,2000,1.0045,0.14
743,"Wells (Ida B) HS",4,"1099 Hayes St, San Francisco, CA",1.08140497560814,NA,180,146,160,0.811111111111111,0.888888888888889,75,1,99,0.378,69,0.803,69,46,70,54,-311.7,-338.3,-14.3,-14.3,NA,NA,NA,19,1,18,0,0.0263157894736842,NA,NA,0.28
618,"Buena Vista Horace Mann K-8",6,"3351 23rd St, San Francisco, CA",1.43292786957235,138.1974249,585,378,585,0.646153846153846,1,84,0.519,96,0.078,66,0.792,65.5,54.5,63,55.5,-57.8,-82.9,0,0,0.04,0.0325,0.0365,56,3,55,1,0.0358766233766234,616,0.949675324675325,0.46
449,"Carmichael (Bessie) K-8",6,"375 7th St, San Francisco, CA",2.31048755519431,107.3529412,559,401,504,0.717352415026834,0.901610017889088,52,0.557,81,0.177,49,0.846,57,47,62,48,-101.9,-130.9,-22.2,-15.2,0.015,0.0175,0.016,48,5,49,4,0.0928996598639456,770,0.725974025974026,0.355
676,"Lawton K-8",6,"1570 31st Ave, San Francisco, CA",2.45262588666193,123.7288136,601,346,386,0.575707154742097,0.642262895174709,86,0.614,100,0.143,66,1,70.5,57,71.5,56.5,67.4,46.9,5.3,7.7,0.1065,0.106,0.106,39,1,40,3,0.0503205128205128,616,0.975649350649351,0.26
479,"Lilienthal (Claire) K-8",6,"3630 Divisadero St, San Francisco, CA",3.07984388906532,25.49019608,670,143,302,0.213432835820896,0.450746268656716,80,0.836,91,0.283,72,0.627,76,67.5,71.5,61,85,64.5,10.2,4,0.078,0.0855,0.082,40,0,40,2,0.025,616,1.08766233766234,0.315
760,"Revere (Paul) K-8",6,"555 Tompkins Ave, San Francisco, CA",1.57001282413825,138.1974249,466,326,423,0.699570815450644,0.907725321888412,52,0.833,98,0.094,65,1,66.5,44.5,59.5,51.5,-118.7,-143.7,-19.1,-8.4,0.012,0.014,0.0125,36,0,38,1,0.0131578947368421,770,0.605194805194805,0.325
796,"Rooftop K-8",6,"500 Corbett Ave, San Francisco, CA",1.65223003190284,52.88461538,575,175,241,0.304347826086957,0.419130434782609,78,1,90,0.485,64,1,71.5,60.5,69.5,59,5.4,-12.8,3.9,13.9,0.053,0.0545,0.054,41,2,39,2,0.0500312695434647,616,0.933441558441558,0.525
493,"SF Community K-8",6,"125 Excelsior Ave, San Francisco, CA",1.87388272495909,162.797619,276,125,151,0.452898550724638,0.547101449275362,61,1,92,0.445,66,1,68.5,57,66.5,56.5,-15,-59.8,-2.6,-4.4,0.021,0.021,0.0205,19,0,19,1,0.0263157894736842,561,0.491978609625668,0.31
485,"Yu (Alice Fong) K-8",6,"1541 12th Ave, San Francisco, CA",1.73193000993236,123.7288136,589,217,589,0.368421052631579,1,94,0.907,98,0.279,70,1,73,59.5,75.5,58.5,80.3,60.8,18.7,19,0.048,0.0455,0.0465,30,2,34,2,0.0627450980392157,616,0.956168831168831,0.3
